route_id,route_short_name,route_type,agency_id,route_long_name,route_desc,route_color,route_text_color
10400029,AB097,3,AA,Megenegna Terminal ↔ Legedadi Mission,,1779c2,ffffff
10400258,AB101,3,AA,Megenagna Terminal ↔ Aba Kiros Roundabout,,1779c2,ffffff
10400405,AB049,3,AA,Megenegna Terminal ↔ Ayat Chefe Condominium,,1779c2,ffffff
10406491,AB083,3,AA,Ayat Chefe Condominium ↔ 6 Kilo,,1779c2,ffffff
10407732,AB010,3,AA,Kotebe Teachers College ↔ Piassa Arada,,1779c2,ffffff
10410198,AB009,3,AA,Piassa Arada ↔ Brass Clinic (Bole),,1779c2,ffffff
10441511,AB061,3,AA,Legehar (Old Train Station) ↔ Ayat Chefe Condominium,,1779c2,ffffff
10547202,AB032,3,AA,Hanna Mariam ↔ Legehar (Old Train Station),,1779c2,ffffff
10550063,AB018,3,AA,Yeshi Debele ↔ Autobis Tera,,1779c2,ffffff
10550163,AB087,3,AA,Winget ↔ Ayer Tena (Terminal),,1779c2,ffffff
10550650,AB110,3,AA,Tulu Dimtu ↔ 6 Kilo,,1779c2,ffffff
10551230,AB047,3,AA,Shegole (Mender 7) ↔ Autobis Tera,,1779c2,ffffff
10551231,AB028,3,AA,Sansusi ↔ Autobis Tera,,1779c2,ffffff
10551605,AB041,3,AA,Eyesus ↔ Autobis Tera,,1779c2,ffffff
15625520,AB003,3,AA,Ayer Tena ↔ Piassa Arada,,1779c2,ffffff
15656246,AB034,3,AA,German Square ↔ Autobis Tera,,1779c2,ffffff
16067901,AB004,3,AA,Kality Meneharia ↔ Autobis Tera,,1779c2,ffffff
16068007,AB006,3,AA,kera ↔ Addisu Gebeya,,1779c2,ffffff
16068572,AB027,3,AA,Mexico ↔ Gelan Condominium,,1779c2,ffffff
16068674,AB033,3,AA,Kotebe Gebriel ↔ Arat Kilo,,1779c2,ffffff
16068754,AB036,3,AA,Legehar (Old Train Station) ↔ Kara Kore,,1779c2,ffffff
16068915,AB037,3,AA,Yeshi Debele ↔ St. George Church,,1779c2,ffffff
16069113,AB055,3,AA,Legehar (Old Train Station) ↔ Gurara,,1779c2,ffffff
16069192,AB056,3,AA,Saris Abo ↔ Shero Meda,,1779c2,ffffff
16069231,AB058,3,AA,Legehar (Old Train Station) ↔ Alem Bank,,1779c2,ffffff
16069472,AB064,3,AA,Megenagna ↔ Gurara,,1779c2,ffffff
16069558,AB065,3,AA,Autobis Tera ↔ Alem Bank,,1779c2,ffffff
16070513,AB066,3,AA,Kara Kore ↔ Autobis Tera,,1779c2,ffffff
16070566,AB068,3,AA,Menlik Hospital ↔ Torhailoch,,1779c2,ffffff
16071249,AB070,3,AA,Ayer Tena ↔ Abuare Roundabout,,1779c2,ffffff
16071322,AB077,3,AA,Kera ↔ Ayer Tena,,1779c2,ffffff
16071554,AB029,3,AA,Yerer Goro ↔ Mexico,,1779c2,ffffff
16071657,AB090,3,AA,Betel ↔ Legehar (Old Train Station),,1779c2,ffffff
16071828,AB092,3,AA,Hana Mariam ↔ Darmar,,1779c2,ffffff
16072018,AB094,3,AA,Piassa Arada ↔ Mikili Land,,1779c2,ffffff
16072169,AB099,3,AA,Alem Bank ↔ Ayer Tena,,1779c2,ffffff
16072247,AB100,3,AA,Jemmo 3 ↔ Autobis Tera,,1779c2,ffffff
16072458,AB102,3,AA,Kara ↔ Legehar (Old Train Station),,1779c2,ffffff
16074160,AB105,3,AA,Anfo Meda ↔ Legehar (Old Train Station),,1779c2,ffffff
16074208,AB109,3,AA,Saris Abo ↔ Tulu Dimtu Adebabay,,1779c2,ffffff
16074342,AB117,3,AA,Sefera ↔ Mexico,,1779c2,ffffff
16074676,AB045,3,AA,Dil Ber ↔ Legehar (Old Train Station),,1779c2,ffffff
16074771,AB062,3,AA,Legehar (Old Train Station) ↔ Sebeta,,1779c2,ffffff
16074871,AB071,3,AA,Gerji Mebrat Haile ↔ Darmar,,1779c2,ffffff
16075030,AB111,3,AA,Piassa Arada ↔ Gefersa,,1779c2,ffffff
16112803,AB012,3,AA,Gurara ↔ Autobis Tera,,1779c2,ffffff
16112804,AB007,3,AA,Megenagna ↔ Aleltu,,1779c2,ffffff
