stop_id,stop_name,location_type,parent_station,stop_lon,stop_lat
node/847244293,Beherawi Theatre,0,,38.7525538,9.0165395
node/847244423,Black Lion,0,,38.7521415,9.0209237
node/4832025024,4 Kilo,0,,38.7632408,9.0344007
node/4884374622,Lamberet Terminal (Bus),0,,38.8158571,9.0223057
node/5248250425,Sar Bet (Roundabout),0,,38.738182,8.9929728
node/5330678521,Ambassador,0,,38.7553162,9.0164409
node/5736089088,Stadium,0,,38.7570321,9.0120276
node/6251054285,Mebrathail,0,,38.7146778,9.0295451
node/6307600909,Asko,0,,38.6928185,9.0654733
node/6373574986,Bole Printing Press,0,,38.7718334,8.9976331
node/6798927886,Kebede Wessene Rd.,0,,38.8053365,8.9986049
node/6967165728,Mebrat,0,,38.7486643,8.9673396
node/6967179322,Gofa Gebriel,0,,38.7491221,8.9771232
node/6967179323,Kera (Gofa Road),0,,38.7498599,8.9825519
node/6967234177,German Square,0,,38.732897,8.9655968
node/6967281153,Friendship Building,0,,38.7859995,8.9899905
node/6967281241,Piassa (Downtown Cafe),0,,38.7512565,9.0319356
node/6967281242,Piassa Arada (2),0,,38.7526242,9.0330123
node/6967318740,Gojo,0,,38.6217166,9.0418236
node/7022361366,Megenagna Terminal,0,,38.8026673,9.0203188
node/7022397409,Bole Millenium,0,,38.7897496,8.9885373
node/7022397410,Bole Millenium,0,,38.789886,8.9887535
node/7022397411,Goro School,0,,38.8267584,8.9937973
node/7022397413,Summit Condominiums,0,,38.8569749,8.9842709
node/7022397414,Summit Condominiums,0,,38.8570885,8.9842404
node/7022397418,Aba Kiros Roundabout,0,,38.8785328,9.0561234
node/7022397420,Yeka Abado,0,,38.875565,9.0689298
node/7022397421,Yeka Abado,0,,38.8756232,9.0688377
node/7037142414,Abuare Roundabout,0,,38.7757967,9.026427
node/7037142415,Abuare Roundabout,0,,38.7759255,9.026504
node/7037142417,Marathon Motor (Megenagna),0,,38.8000289,9.0224201
node/7037142419,Yeha,0,,38.7836264,9.060739
node/7037142420,Tena Tabya,0,,38.7839285,9.0608445
node/7037142421,Biret Dildiy (Bono Wuha),0,,38.7811505,9.0598571
node/7037142422,Bret Dildy (Bono Wuha),0,,38.7810894,9.0599927
node/7037142423,Atlas,0,,38.7797667,9.0042786
