trip_id,route_id,service_id,shape_id,direction_id,trip_headsign
0,10400029,0,10399952,0,Megenagna Terminal
1,10400029,0,10399951,1,Legedadi Mission
2,10400258,0,10400257,0,Megenagna Terminal
3,10400258,0,10400256,1,Aba Kiros Roundabout
4,10400405,0,10400404,0,Megenagna Terminal
5,10400405,0,10400403,1,Ayat Chefe Condominium
6,10406491,0,10406489,0,Ayat Chefe Condominium
7,10406491,0,10406490,1,6 Kilo
8,10407732,0,10407730,0,Kotebe Teachers College
9,10407732,0,10407731,1,Piassa Arada
10,10410198,0,10410197,0,Piassa Arada
11,10410198,0,10410196,1,Brass Clinic (Bole)
12,10441511,0,15743389,0,Legehar (Old Train Station)
13,10441511,0,10406696,1,Ayat Chefe Condominium
14,10547202,0,10547201,0,Hanna Mariam
15,10547202,0,10547200,1,Legehar (Old Train Station)
16,10550063,0,10550062,0,Yeshi Debele
17,10550063,0,10550060,1,Autobis Tera
18,10550163,0,10550162,0,Winget
19,10550163,0,10550161,1,Ayer Tena (Terminal)
20,10550650,0,10550648,0,Tulu Dimtu
21,10550650,0,10550649,1,6 Kilo
22,10551230,0,10551229,0,Shegole (Mender 7)
23,10551230,0,10551228,1,Autobis Tera
24,10551231,0,10551227,0,Sansusi
25,10551231,0,10551226,1,Autobis Tera
26,10551605,0,10551604,0,Eyesus
27,10551605,0,10551603,1,Autobis Tera
28,15625520,0,15487613,0,Ayer Tena
29,15625520,0,15487437,1,Piassa Arada
30,15656246,0,15480652,0,German Square
31,15656246,0,15480612,1,Autobis Tera
32,16067901,0,16067899,0,Kality Menaheria
33,16067901,0,16067900,1,Autobis Tera
34,16068007,0,16068005,0,Kera
35,16068007,0,16068006,1,Addisu Gebeya
36,16068572,0,16068570,0,Mexico
37,16068572,0,16068571,1,Gelan Condominium
38,16068674,0,16068673,0,Kotebe Gebriel
39,16068674,0,16068672,1,Arat Kilo
40,16068754,0,16068753,0,Legehar (Old Train Station)
41,16068754,0,16068752,1,Kara Kore
42,16068915,0,16068913,0,Yeshi Debele
43,16068915,0,16068914,1,St. George Church
44,16069113,0,16069111,0,Legehar (Old Train Station)
45,16069113,0,16069112,1,Gurara
46,16069192,0,16069190,0,Saris Abo
47,16069192,0,16069191,1,Shero Meda
48,16069231,0,16069228,0,Legehar (Old Train Station)
49,16069231,0,16069229,1,Alem Bank
50,16069472,0,16069470,0,Megenagna
51,16069472,0,16069471,1,Gurara
52,16069558,0,16069557,0,Autobis Tera
53,16069558,0,16069556,1,Alem Bank
54,16070513,0,16070512,0,Kara Kore
55,16070513,0,16070511,1,Autobis Tera
56,16070566,0,16070565,0,Menlik Hospital
57,16070566,0,16070564,1,Torhailoch
58,16071249,0,16071247,0,Ayer Tena
59,16071249,0,16071248,1,Abuare Roundabout
60,16071322,0,16071321,0,Kera
61,16071322,0,16071320,1,Ayer Tena
62,16071554,0,16071553,0,Yerer Goro
63,16071554,0,16071552,1,Mexico
64,16071657,0,16071656,0,Bethel
65,16071657,0,16071655,1,Legehar (Old Train Station)
66,16071828,0,16071826,0,Hana Mariam
67,16071828,0,16071827,1,Darmar
68,16072018,0,16072016,0,Piassa Arada
69,16072018,0,16072017,1,Mikili Land
70,16072169,0,16072168,0,Alem Bank
71,16072169,0,16072167,1,Ayer Tena
72,16072247,0,16072245,0,Jemmo 3
73,16072247,0,16072246,1,Autobis Tera
74,16072458,0,16072457,0,Kara
75,16072458,0,16072456,1,Legehar (Old Train Station)
76,16074160,0,16074159,0,Anfo Meda
77,16074160,0,16074158,1,Legehar (Old Train Station)
78,16074208,0,16074206,0,Saris Abo
79,16074208,0,16074207,1,Tulu Dimtu Adebabay
80,16074342,0,16074340,0,Sefera
81,16074342,0,16074341,1,Mexico
82,16074676,0,16074675,0,Dil Ber
83,16074676,0,16074674,1,Legehar (Old Train Station)
84,16074771,0,16074769,0,Legehar (Old Train Station)
85,16074771,0,16074770,1,Sebeta
86,16074871,0,16074870,0,Gerji Mebrat Haile
87,16074871,0,16074869,1,Darmar
88,16075030,0,16075028,0,Piassa Arada
89,16075030,0,16075029,1,Gefersa
90,16112803,0,15488085,0,Gurara
91,16112803,0,15488179,1,Autobis Tera
92,16112804,0,15488050,0,Megenagna
93,16112804,0,15743390,1,Aleltu
94,16112805,0,15520257,0,Legehar (Old Train Station)
95,16112805,0,16112801,1,Akaki Korkoro
96,16112806,0,15488233,0,Sansusi
97,16112806,0,16112802,1,Piassa Arada
98,16113471,0,15520470,0,Shero Meda
99,16113471,0,15520553,1,Legehar (Old Train Station)
100,16148441,0,15487095,0,Holeta
