trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,continuous_pickup,continuous_drop_off
0,06:00:00,06:00:00,node/7022397410,1,,,,,1,,
0,06:11:08,06:11:08,node/6373574986,2,,,,,0,,
0,06:15:47,06:15:47,node/7070861707,3,,,,,0,,
0,06:18:37,06:18:37,node/7076294505,4,,,,,0,,
0,06:20:50,06:20:50,node/7074707883,5,,,,,0,,
0,06:33:06,06:33:06,node/4832025024,6,,,,,0,,
0,06:37:50,06:37:50,node/7041071633,7,,,,,0,,
0,06:42:39,06:42:39,node/7041071725,8,,,,,0,,
0,06:49:00,06:49:00,node/11034031011,9,,,,,1,,
1,06:00:00,06:00:00,node/7076294510,1,,,,,1,,
1,06:12:11,06:12:11,node/7076310930,2,,,,,0,,
1,06:14:58,06:14:58,node/7041071630,3,,,,,0,,
1,06:19:30,06:19:30,node/7062689851,4,,,,,0,,
1,06:35:10,06:35:10,node/7041071462,5,,,,,0,,
1,06:36:33,06:36:33,node/7070861710,6,,,,,0,,
1,06:40:37,06:40:37,node/7074691520,7,,,,,0,,
1,06:44:08,06:44:08,node/7070861705,8,,,,,0,,
1,06:46:52,06:46:52,node/7070861703,9,,,,,0,,
1,06:53:16,06:53:16,node/7070861699,10,,,,,0,,
1,06:58:14,06:58:14,node/6967281153,11,,,,,0,,
1,07:01:00,07:01:00,node/7022397409,12,,,,,1,,
2,06:00:00,06:00:00,node/7041071290,1,,,,,1,,
2,06:05:09,06:05:09,node/7041071286,2,,,,,0,,
2,06:08:33,06:08:33,node/7041052980,3,,,,,0,,
2,06:13:21,06:13:21,node/7041052978,4,,,,,0,,
2,06:27:25,06:27:25,node/7067942463,5,,,,,0,,
2,06:31:50,06:31:50,node/7074599697,6,,,,,0,,
2,06:35:05,06:35:05,node/7067942465,7,,,,,0,,
2,06:37:32,06:37:32,node/7076294502,8,,,,,0,,
2,06:40:32,06:40:32,node/7074707881,9,,,,,0,,
2,06:43:36,06:43:36,node/7074707883,10,,,,,0,,
2,06:57:16,06:57:16,node/4832025024,11,,,,,0,,
2,07:02:33,07:02:33,node/7041071633,12,,,,,0,,
2,07:07:55,07:07:55,node/7041071725,13,,,,,0,,
2,07:15:00,07:15:00,node/11034031011,14,,,,,1,,
3,06:00:00,06:00:00,node/7076310931,1,,,,,1,,
3,06:05:24,06:05:24,node/7077424942,2,,,,,0,,
3,06:08:08,06:08:08,node/7076310930,3,,,,,0,,
3,06:09:57,06:09:57,node/7041071630,4,,,,,0,,
3,06:12:54,06:12:54,node/7062689851,5,,,,,0,,
3,06:23:07,06:23:07,node/7041071462,6,,,,,0,,
3,06:24:50,06:24:50,node/7041071371,7,,,,,0,,
3,06:27:39,06:27:39,node/7041071356,8,,,,,0,,
3,06:29:33,06:29:33,node/7041071355,9,,,,,0,,
3,06:34:59,06:34:59,node/7067942462,10,,,,,0,,
3,06:40:26,06:40:26,node/7041052970,11,,,,,0,,
3,06:42:07,06:42:07,node/7074819178,12,,,,,0,,
3,06:45:15,06:45:15,node/7041052977,13,,,,,0,,
3,06:48:46,06:48:46,node/7041052982,14,,,,,0,,
3,06:51:16,06:51:16,node/7041071287,15,,,,,0,,
3,06:55:00,06:55:00,node/7041071289,16,,,,,1,,
4,06:00:00,06:00:00,node/7041071290,1,,,,,1,,
4,06:06:26,06:06:26,node/7041071286,2,,,,,0,,
4,06:10:41,06:10:41,node/7041052980,3,,,,,0,,
4,06:16:40,06:16:40,node/7041052978,4,,,,,0,,
4,06:22:29,06:22:29,node/7067942461,5,,,,,0,,
4,06:25:03,06:25:03,node/7041052969,6,,,,,0,,
4,06:34:24,06:34:24,node/7067942463,7,,,,,0,,
4,06:39:56,06:39:56,node/7074599697,8,,,,,0,,
4,06:43:59,06:43:59,node/7067942465,9,,,,,0,,
4,06:50:48,06:50:48,node/7074707881,10,,,,,0,,
4,06:57:10,06:57:10,node/5330678521,11,,,,,0,,
4,07:02:00,07:02:00,node/7041071411,12,,,,,0,,
4,07:06:36,07:06:36,node/6967225474,13,,,,,0,,
4,07:10:48,07:10:48,node/6967281242,14,,,,,0,,
4,07:13:00,07:13:00,node/7070861712,15,,,,,1,,
5,06:00:00,06:00:00,node/7055598739,1,,,,,1,,
5,06:05:58,06:05:58,node/7041071406,2,,,,,0,,
5,06:10:14,06:10:14,node/847244423,3,,,,,0,,
5,06:14:31,06:14:31,node/7077601626,4,,,,,0,,
5,06:20:06,06:20:06,node/7041071371,5,,,,,0,,
5,06:25:02,06:25:02,node/7041071356,6,,,,,0,,
5,06:28:21,06:28:21,node/7041071355,7,,,,,0,,
5,06:32:16,06:32:16,node/7041071354,8,,,,,0,,
5,06:37:55,06:37:55,node/7067942462,9,,,,,0,,
5,06:47:29,06:47:29,node/7041052970,10,,,,,0,,
5,06:50:26,06:50:26,node/7074819178,11,,,,,0,,
5,06:55:56,06:55:56,node/7041052977,12,,,,,0,,
5,07:02:05,07:02:05,node/7041052982,13,,,,,0,,
5,07:06:28,07:06:28,node/7041071287,14,,,,,0,,
5,07:13:00,07:13:00,node/7041071289,15,,,,,1,,
6,06:00:00,06:00:00,node/7056754516,1,,,,,1,,
6,06:07:29,06:07:29,node/7037142484,2,,,,,0,,
6,06:08:08,06:08:08,node/7037183485,3,,,,,0,,
6,06:10:13,06:10:13,node/7037183498,4,,,,,0,,
6,06:14:12,06:14:12,node/7037183507,5,,,,,0,,
6,06:17:32,06:17:32,node/7055598734,6,,,,,0,,
6,06:20:56,06:20:56,node/7074330409,7,,,,,0,,
6,06:23:54,06:23:54,node/7077785209,8,,,,,0,,
6,06:27:28,06:27:28,node/7037183567,9,,,,,0,,
6,06:31:00,06:31:00,node/7022397421,10,,,,,1,,
7,06:00:00,06:00:00,node/7022397420,1,,,,,1,,
7,06:03:49,06:03:49,node/7037183565,2,,,,,0,,
7,06:10:06,06:10:06,node/7037183523,3,,,,,0,,
7,06:13:22,06:13:22,node/7037183510,4,,,,,0,,
7,06:16:45,06:16:45,node/7037183504,5,,,,,0,,
7,06:20:32,06:20:32,node/7037183499,6,,,,,0,,
7,06:22:40,06:22:40,node/7037183487,7,,,,,0,,
7,06:25:15,06:25:15,node/7037142476,8,,,,,0,,
7,06:27:06,06:27:06,node/7077785205,9,,,,,0,,
7,06:31:00,06:31:00,node/7037142470,10,,,,,1,,
8,06:00:00,06:00:00,node/7077863012,1,,,,,1,,
8,06:02:27,06:02:27,node/7077863010,2,,,,,0,,
8,06:07:25,06:07:25,node/7074504390,3,,,,,0,,
8,06:13:44,06:13:44,node/7041071401,4,,,,,0,,
8,06:17:35,06:17:35,node/7075129254,5,,,,,0,,
8,06:21:46,06:21:46,node/7074541084,6,,,,,0,,
8,06:25:16,06:25:16,node/7041071388,7,,,,,0,,
8,06:27:51,06:27:51,node/7074324043,8,,,,,0,,
8,06:29:00,06:29:00,node/7077863009,9,,,,,1,,
9,06:00:00,06:00:00,node/7074324044,1,,,,,1,,
9,06:01:05,06:01:05,node/7077863019,2,,,,,0,,
9,06:03:32,06:03:32,node/7077863018,3,,,,,0,,
9,06:07:23,06:07:23,node/7041071447,4,,,,,0,,
9,06:13:30,06:13:30,node/7077863017,5,,,,,0,,
9,06:17:04,06:17:04,node/7077863016,6,,,,,0,,
9,06:20:51,06:20:51,node/7077863015,7,,,,,0,,
9,06:23:00,06:23:00,node/7077863014,8,,,,,0,,
9,06:25:00,06:25:00,node/7074504387,9,,,,,1,,
10,06:00:00,06:00:00,node/7078164251,1,,,,,1,,
10,06:05:34,06:05:34,node/7074561392,2,,,,,0,,
10,06:13:35,06:13:35,node/6967234177,3,,,,,0,,
10,06:17:27,06:17:27,node/7074326525,4,,,,,0,,
10,06:21:59,06:21:59,node/7078164255,5,,,,,0,,
10,06:27:41,06:27:41,node/7047495429,6,,,,,0,,
10,06:36:00,06:36:00,node/7078164250,7,,,,,1,,
11,06:00:00,06:00:00,node/7078164256,1,,,,,1,,
11,06:10:12,06:10:12,node/5248250425,2,,,,,0,,
11,06:17:08,06:17:08,node/7074326526,3,,,,,0,,
11,06:23:06,06:23:06,node/7078164254,4,,,,,0,,
