stop_name,stop_lon,stop_id,stop_lat,parent_station,location_type
Black Lion,38.7521415,node/847244423,9.0209237,,0
4 Kilo,38.7632408,node/4832025024,9.0344007,,0
Sar Bet (Roundabout),38.738182,node/5248250425,8.9929728,,0
Ambassador,38.7553162,node/5330678521,9.0164409,,0
Stadium,38.7570321,node/5736089088,9.0120276,,0
Mebrathail,38.7146778,node/6251054285,9.0295451,,0
Asko,38.6928185,node/6307600909,9.0654733,,0
Bole Printing Press,38.7718334,node/6373574986,8.9976331,,0
Mexico,38.7444332,node/6814022390,9.0094665,,0
Mebrat Condominium,38.7438796,node/6967142984,8.9644773,,0
Mebrat,38.7486643,node/6967165728,8.9673396,,0
Gofa Gebriel,38.7491221,node/6967179322,8.9771232,,0
Kera (Gofa Road),38.7498599,node/6967179323,8.9825519,,0
Tewodros Square,38.7516602,node/6967225474,9.0277111,,0
German Square,38.732897,node/6967234177,8.9655968,,0
Friendship Building,38.7859995,node/6967281153,8.9899905,,0
Piassa (Downtown Cafe),38.7512565,node/6967281241,9.0319356,,0
Piassa Arada (2),38.7526242,node/6967281242,9.0330123,,0
Gojo,38.6217166,node/6967318740,9.0418236,,0
Megenagna Terminal,38.8026673,node/7022361366,9.0203188,,0
Bole Millenium,38.7897496,node/7022397409,8.9885373,,0
Bole Millenium,38.789886,node/7022397410,8.9887535,,0
Goro School,38.8267584,node/7022397411,8.9937973,,0
Summit Condominiums,38.8569749,node/7022397413,8.9842709,,0
Summit Condominiums,38.8570885,node/7022397414,8.9842404,,0
Bole Arabsa,38.8906061,node/7022397416,8.9720161,,0
Bole Arabsa,38.8903477,node/7022397417,8.9732168,,0
Aba Kiros Roundabout,38.8785328,node/7022397418,9.0561234,,0
Yeka Abado,38.875565,node/7022397420,9.0689298,,0
Yeka Abado,38.8756232,node/7022397421,9.0688377,,0
Gurara,38.7893816,node/7037142410,9.0626023,,0
Marathon Motor (Megenagna),38.8000289,node/7037142417,9.0224201,,0
Biret Dildiy (Bono Wuha),38.7811505,node/7037142421,9.0598571,,0
Dinberwa Hospital,38.7866932,node/7037142428,9.0221273,,0
Kokebe Tsebah School,38.7802113,node/7037142430,9.0345238,,0
Kokebe Tsebah School,38.7799476,node/7037142431,9.034441,,0
British Embassy,38.784892,node/7037142434,9.0311083,,0
British Embassy,38.7855544,node/7037142435,9.0309087,,0
Abebe Sook,38.7887162,node/7037142436,9.0287538,,0
Shola Gebeya,38.7952986,node/7037142438,9.0250779,,0
Yeka Michael,38.7961373,node/7037142439,9.0244101,,0
Megenagna,38.8021491,node/7037142441,9.0180934,,0
Megenagna,38.8017521,node/7037142442,9.0182711,,0
Tulu Dimtu (Taf Gas Station),38.8051915,node/7037142459,8.8688691,,0
Arsema,38.8136608,node/7037142460,8.8722685,,0
Selam Sefer (Tapela Gar),38.8140262,node/7037142461,8.8722281,,0
Bole Dildiy,38.7912061,node/7037142466,8.9869933,,0
Megenagna,38.8010735,node/7037142469,9.0213214,,0
Megenagna,38.8015921,node/7037142470,9.0217137,,0
Abysinia Cafe Area,38.8100422,node/7037142471,9.0215363,,0
Abysinia Cafe Area,38.810853,node/7037142472,9.0213396,,0
Century Mall,38.8132781,node/7037142474,9.0196778,,0
Gurd-shola,38.8215105,node/7037142475,9.0187352,,0
Menaheria,38.8192066,node/7037142476,9.0239816,,0
Menaheria,38.8192354,node/7037142477,9.0238758,,0
Gerji Mebrat Haile,38.814876,node/7037142479,9.003632,,0
Gerji Mebrat Haile,38.8132574,node/7037142483,9.0037638,,0
Lamberet,38.8251916,node/7037142484,9.0253421,,0
Lamberet Area,38.8271787,node/7037183485,9.0258842,,0
Lamberet Area,38.8271189,node/7037183487,9.0259969,,0
Yerer Goro,38.8294063,node/7037183490,8.9913503,,0
Yerer Goro,38.8292171,node/7037183491,8.9913222,,0
Se'alite Mihret Church,38.8265756,node/7037183492,9.020263,,0
Management Institute,38.82686,node/7037183493,9.0203852,,0
Sealite Mihret,38.8273219,node/7037183494,9.0203048,,0
Civil Service College,38.8342032,node/7037183495,9.0216167,,0
St. Michael,38.8414217,node/7037183496,9.021312,,0
St. Micheal Church,38.8425033,node/7037183497,9.0215489,,0
Salite Mihret,38.8331954,node/7037183498,9.0283709,,0
Hillside (Ethio-China Mebrathaile),38.8333256,node/7037183499,9.0285264,,0
Wessen Michael,38.838592,node/7037183501,9.030459,,0
Wessen,38.8442968,node/7037183504,9.0330948,,0
Wessen (Mariam),38.8446898,node/7037183507,9.0330982,,0
Yabem Hotel,38.8533863,node/7037183509,9.0357649,,0
Kotebe Gebriel,38.8545188,node/7037183510,9.036101,,0
Yetebaberut,38.8539074,node/7037183515,9.0207031,,0
Meri,38.8603565,node/7037183516,9.0207092,,0
Meri (Yetebaberut),38.8610727,node/7037183518,9.0205124,,0
Ayat,38.8686047,node/7037183519,9.0208331,,0
Ayat Zone 2,38.8678248,node/7037183520,9.0210633,,0
Kara (Turn),38.8606002,node/7037183521,9.0379427,,0
Medhanalem Church,38.8640163,node/7037183523,9.0401552,,0
Safari,38.852259,node/7037183525,9.0106828,,0
Summit (MOHA),38.8520658,node/7037183527,9.0043876,,0
Tena Tabeya,38.860685,node/7037183529,8.9941038,,0
Gate 2,38.8582866,node/7037183532,8.9894728,,0
Ayat Train Station,38.8719812,node/7037183535,9.0213287,,0
CMC,38.872594,node/7037183536,9.0211208,,0
Ayat Square,38.8767684,node/7037183537,9.0212396,,0
Nebu Mikael,38.8767662,node/7037183545,9.0023517,,0
Ayat Adebabay Hulet (2),38.8851706,node/7037183546,8.9965746,,0
Bole Arabsa (3),38.8855436,node/7037183547,8.9963324,,0
Bole Arabsa (2),38.8851362,node/7037183548,8.9841602,,0
Yeka Condominium 1,38.877919,node/7037183552,9.0354891,,0
Tafo Gebrael,38.8777819,node/7037183554,9.0381306,,0
Tafo Condominium 1,38.8779667,node/7037183555,9.0505157,,0
Tafo Mebrathail,38.8773973,node/7037183557,9.0425957,,0
Tafo Condominium 2,38.8779122,node/7037183559,9.0465834,,0
Kara Condominium,38.8705589,node/7037183562,9.0501511,,0
Yeka Abado,38.8647703,node/7037183563,9.0666282,,0
Sara Ampol (Gedera),38.8737753,node/7037183565,9.0571811,,0
Sara Ampol,38.8742538,node/7037183567,9.0580264,,0
Selam Building,38.7771574,node/7041052894,8.8832831,,0
Kality Meneharia,38.7717989,node/7041052896,8.8958584,,0
Cheralia Factory,38.7668359,node/7041052897,8.9029458,,0
Cheralia Factory,38.7667452,node/7041052898,8.9029223,,0
Kality Gebriel,38.7638335,node/7041052900,8.9113422,,0
Kality Prison,38.7633399,node/7041052901,8.912466,,0
Tabelew,38.6590102,node/7041052914,8.9274906,,0
Ubedi Academy,38.6548173,node/7041052915,8.9244259,,0
Alem Gena,38.652656,node/7041052917,8.9229882,,0
Mama,38.6465912,node/7041052918,8.9213858,,0
German Square,38.7327236,node/7041052928,8.9656974,,0
Gebriel Bridge,38.7324437,node/7041052932,8.9556239,,0
Gebriel Bridge,38.7327233,node/7041052934,8.955596,,0
Mebrathile (EEPCo),38.7339608,node/7041052935,8.9469471,,0
Sheged Hotel,38.7246092,node/7041052938,8.973373,,0
Jemo Michael,38.720836,node/7041052939,8.9673959,,0
Jemo Michael,38.7209392,node/7041052940,8.966996,,0
Jemmo 1,38.7123763,node/7041052944,8.9606358,,0
Jemmo 1,38.7124284,node/7041052945,8.9604074,,0
Jemo 3,38.6992718,node/7041052949,8.9564,,0
Jemmo 3,38.6985348,node/7041052950,8.9556244,,0
Zenebework,38.7077567,node/7041052951,8.9866742,,0
Mickael Bridge,38.7272059,node/7041052953,8.9657858,,0
